name,code,sectors,products
DSR,155660,1차 비철금속 제조업,합섬섬유로프
GS,078930,기타 금융업,지주회사/부동산 임대
GS글로벌,001250,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대"
HDC현대산업개발,294870,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등"
LG이노텍,011070,전자부품 제조업,기타 전자부품 제조업
LG전자,066570,통신 및 방송 장비 제조업,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기"
LG헬로비전,037560,텔레비전 방송업,"케이블TV, 인터넷서비스 등"
OCI,010060,기초 화학물질 제조업,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매"
S&TC,100840,일반 목적용 기계 제조업,"공냉식 열교환장치,폐열회수장치 제조"
S&T모티브,064960,자동차 신품 부품 제조업,"자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포) 제조,도매"
SK이노베이션,096770,석유 정제품 제조업,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업"
STX,011810,상품 종합 도매업,"에너지 원료(석탄,석유),산업기자재(기계부품) 도매"
WISCOM,024070,플라스틱제품 제조업,"플라스틱제품(PVC컴파운드,ABS,PS가공) 제조,도매,임가공"
YG PLUS,037270,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","광고대행,광고물 제작"
갤럭시아에스엠,011420,스포츠 서비스업,"스포츠중계권,스포츠마케팅,광고"
고려아연,010130,1차 비철금속 제조업,"연,아연괴 제조,판매"
국보,001140,도로 화물 운송업,"화물자동차운송,콘테이너운송,수출입화물보관,도로운송,CY보관,하역"
극동유화,014530,석유 정제품 제조업,"윤활유,유동파라핀,왁스,방수용시트,아스팔트 제조/수입자동차,부품 도매/가스충전,산업설비 청소"
까뮤이앤씨,013700,건물 건설업,"토목공사,건축공사/부동산 임대"
넷마블,251270,소프트웨어 개발 및 공급업,온라인·모바일 게임 소프트웨어 개발 및 공급
대덕,008060,전자부품 제조업,"산업용 인쇄회로기판,다층 인쇄회로기판,빌드업기판,반도체패키지기판,메모리모듈기판 제조"
대덕전자,353200,전자부품 제조업,"PCB(Printed Circuit Board, 인쇄회로기판)의 제조 및 판매"
대영포장,014160,"골판지, 종이 상자 및 종이용기 제조업","골판지원단,골판지상자 제조"
대한해운,005880,해상 운송업,"외항화물운송,국제해운대리점"
동아쏘시오홀딩스,000640,기타 금융업,"의약품(피로회복제/박카스,병원용의약품),비의약품(의료기기,염모제,가글제) 제조,도소매/화장품 생산"
두산,000150,회사 본부 및 경영 컨설팅 서비스업,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등"
락앤락,115390,플라스틱제품 제조업,플라스틱 밀폐용기
